itemName,priceSale,priceDiscounted,priceOrigin,foodExplain,weight,kcal
[I like Eat]짬뽕초당순두부덮밥소스,10%,"5,850","6,500","몽글몽글한 초당 순두부와 한돈을 한 음식에 담아 준비했어요. 얼큰한 짬뽕소스에 입에서 살살 녹는 부드러운 순두부를 넣은 덮밥소스 입니다. 아삭한 호박과 목이버섯으로 풍부한 식감도 놓치지 않았어요. 간편한 짬뽕 초당 순두부 덮밥 소스로 든든한 한 끼 식사를 즐겨보세요. 
                            	
                                
                                    From. 밥상주치의 그리팅


",300g,295kcal
[I like Eat]사천유니짜장&잡채덮밥소스,10%,"5,400","6,000","고슬고슬 갓 지은 밥에 짜장 소스 하나면 별 다른 반찬이 필요 없죠. 그리팅은 단백질이 풍부한 한돈과 야채를 넣어 풍미 깊은 사천 짜장 소스를 완성했어요. 여기에 담백한 잡채까지 더해주면, 간편하지만 푸짐한 한 끼가 완성된답니다. 잡채와 짜장의 달콤한 조화에 한 번 먹기 시작하면 숟가락을 놓을 수 없을 거예요. 
                            	
                                
                                    From. 밥상주치의 그리팅


",300g,335kcal
양파카레소스 160g,15%,"4,160","4,900","국산 양파를 듬뿍 넣어 오랜시간 볶아 단맛을 농축 시키고, 식물성 버터와 카레분으로 덮밥소스를 완성했어요. 밥이나 면에 채소와 함께 곁들여 드시면 간편하게 한끼 요리가 완성됩니다. 
                            	
                                
                                    From. 밥상주치의 그리팅


",160g,0kcal
소고기 가지 덮밥소스,10%,"7,650","8,500","비주얼만 봐도 감칠맛이 그대로 느껴지는 마력의 소고기 가지 덮밥 소스입니다. 입에서 살살 녹는 부드러운 식감의 가지와 다진 소고기를 굴소스에 휘릭 볶아냈어요. 사천 건고추를 넣어 끝맛은 느끼하지 않고 매콤하게 즐길 수 있어요. 살짝 데운 뒤 따뜻한 밥 위에 올려 근사한 중화풍 덮밥을 완성해 보세요. 
                            	
                                
                                    From. 밥상주치의 그리팅


",300g,360kcal
궁중 떡볶이,0%,"6,500",0,"달짝지근하면서 은은한 간으로 모두에게 사랑 받는 궁중 떡볶이를 준비했어요. 간장을 베이스로 한 양념에 떡과 소고기, 각종 채소를 넣어 함께 조려냈어요. 궁중떡볶이 특유의 깔끔하면서 달짝지근한 풍미가 입안 가득 즐거움을 선사해 주죠. 달달한 양념이 은은하게 벤 떡을 한 입 물면 기분 좋은 탄성이 절로 나올 거에요. 
                            	
                                
                                    From. 밥상주치의 그리팅


",540g,560kcal
마라탕면,0%,"9,500",0,"중독성 있는 얼얼한 매력에 푹 빠지게 해 줄 마라탕면을 밀키트로 준비했어요. 씹을수록 고소한 우삼겹은 물론, 피쉬볼과 신선한 채소도 듬뿍 담았어요.마라탕에는 사골 농축액을 넣어 더욱 부드럽고, 마라 초심자도 기분 좋게 즐길 수 있는 맵기예요. 마라탕면이 선사하는 알싸한 풍미와 매력을 지금 느껴 보세요. 
                            	
                                
                                    From. 밥상주치의 그리팅


",475g,655kcal
우삼겹 짬뽕,0%,"8,500",0," 쫄깃한 중화면과 화끈한 국물맛이 매력적인 그리팅 짬뽕을 선보여요. 고소한 우삼겹과 위소라살, 새우 등 해산물에 불맛 가득한 채소까지! 풍성한 건더기와 얼큰한 국물이 어우러진 짬뽕의 진수를 집에서 간편하게 만나보세요. 
                            	
                                
                                    From. 밥상주치의 그리팅


",475g,685kcal
[여경래셰프]주꾸미 짜장면,0%,"7,700",0,"40년 경력의 중화요리 대가이자 前서울그랜드엠버서더호텔의 홍보각 총괄셰프였던 여경래 셰프와 그리팅이 공동개발한 주꾸미 짜장면을 소개해요.여경래 셰프의 노하우가 녹아있는 짜장소스, 쫄깃한 불맛 양념주꾸미 그리고 탱탱한 식감의 숙성 면이 특징인 그리팅만의 특별한 짜장면을 개발했어요.어디서도 맛 볼 수 없는 주꾸미 짜장면을 집에서 간편하게 즐겨보세요. 
                            	
                                
                                    From. 밥상주치의 그리팅


",550g,710kcal
[한솔냉면X그리팅] 물냉면,0%,"6,500",0,"현대백화점에서 맛볼 수 있는 냉면 브랜드 '한솔냉면'과 그리팅이 함께 선보이는 물냉면입니다. 가늘고 찰진 특제 면발과 동치미 국물 베이스의 깔끔한 육수로 한여름 더위도 이겨내는 시원함을 담았어요. 여기에 시원하고 아삭한 식감을 더해줄 얼갈이, 무절임 고명이 함께 제공됩니다. 이제 집에서도 간편하게 장인의 손맛, 한솔냉면을 즐겨보세요. 
                            	
                                
                                    From. 밥상주치의 그리팅


",570g,630kcal
[I Like Eat] 칼비빔면,0%,"6,500",0,"칼국수 면으로 만든 매콤새콤한 비빔국수, 칼비빔면을 납작만두와 함께 즐겨보세요. 칼국수면을 사용해 더욱 쫄깃한 식감을 느낄 수 있어요. 고소하고 담백한 대구식 납작만두는 노릇하게 구워 칼비빔면에 곁들이면 더욱 맛있어요. 취향에 따라 채소를 듬뿍 넣어 드셔도 좋답니다. 
                            	
                                
                                    From. 밥상주치의 그리팅


",405g,700kcal
버섯듬뿍잡채 ,15%,"6,800","8,000","

                                    From. 밥상주치의 그리팅


",300g,320kcal
[모두의맛집]낫배드 스파이시삼겹살파스타,0%,"15,800",0,"대구 동성로 퓨전 파스타 맛집 '낫배드(Not Bad)'의 스파이시 삼겹살 파스타를 소개해요.호주 유학 생활 동안 고기와 함께 찍어 먹을 수 있는 매콤한 소스를 만들고 싶었던 사장님은 매콤한 특제소스의 퓨전 파스타를 개발했답니다.한국인이라면 누구나 좋아하는 고소한 로스팅 삼겹살과 매콤한 고춧가루와 마늘을 넣어 깔끔한 매운맛을 자랑하는 낫배드만의 특제 스파이시 소스가 특징이에요.한식과 양식의 적절한 조화를 이루는 낫배드 스파이시 삼겹살 파스타를 즐겨보세요. 
                            	
                                
                                    From. 밥상주치의 그리팅


",674g,1282kcal
[모두의맛집] 김씨육면 청돈육면,0%,"8,500",0,"청돈육면은 서울 합정의 트렌디한 맑은 고기 국수 전문점 '김씨육면'의 시그니처 메뉴에요.기존의 두껍고 무거운 고기 국수와는 다르게 중면 대신 쌀면을 사용하고, 고명으로 올라가는 목살은 얇게 썰어 면에 싸 먹기도 편하답니다.싱싱한 시금치와 마늘을 갈아 넣은 '특제 시금치 페스토'가 들어가 식욕이 돋는 초록색 육수의 특별한 고기 국수에요.매장에서는 하루 50그릇만 한정으로 판매하는 김씨육면 청돈육면을 그리팅에서 만나보세요. 
                            	
                                
                                    From. 밥상주치의 그리팅


",645g,0kcal
[한솔냉면X그리팅] 비빔냉면,0%,"6,500",0,"현대백화점에서 맛볼 수 있는 냉면 브랜드 '한솔냉면'과 그리팅이 함께 선보이는 비빔냉면입니다. 가늘고 찰진 특제 면발에 매실액을 넣어 매콤새콤하게 만든 비법 소스가 어우러져 감칠맛이 풍부해요. 여기에 시원하고 아삭한 식감을 더해줄 얼갈이, 무절임 고명이 함께 제공됩니다. 이제 집에서도 간편하게 장인의 손맛, 한솔냉면을 즐겨보세요. 
                            	
                                
                                    From. 밥상주치의 그리팅


",385g,695kcal
[모두의맛집] 샤오짠 탄탄면,0%,"8,800",0,"샤오짠은 서초동에 위치한 모두의맛집 10번째 대만 로컬음식 전문점입니다.샤오짠(小站)은 간이역이란 뜻을 가지고 있어요. 타이페이의 길거리를 정처 없이 거닐다가 살짝 허기진 배와 마음을 모두 채워줄 따뜻한 즐거움이 가득한 야시장을 발견했을 때의 작은 기쁨을 브랜드 ""샤오짠""안에 담고 싶었답니다. 탄탄면은 나라에 따라 두 가지 스타일로 나눠지는데, 중국식과 대만식으로 나눠지고 있어요. 샤오짠은 대만식 탄탄면을 판매하고 있습니다. 대만식 탄탄면은 땅콩소스와 다진 고기가 듬뿍 들어가 고소한 맛과 육향이 풍부한 것이 특징이랍니다. 자극적이지 않고 부드럽고 깊은 육수 맛이 매우 매력적인 메뉴에요. 
                            	
                                
                                    From. 밥상주치의 그리팅


",580g,688kcal
[모두의맛집] 어쩌다농부 명란들기름파스타,0%,"9,500",0,"현대그린푸드, 와디즈, 전국 로컬 맛집 사장님이 모여 매장의 시그니처 메뉴를 간편식으로 개발해 고객님의 집 앞에 전달드리는 '모두의 맛집' 어쩌다농부 명란 들기름 파스타를 소개해요. 명란 들기름 파스타는 춘천의 감성골목 육림고개 맛집 '어쩌다 농부'의 대표 메뉴랍니다. 덕화 명란의 저염명란을 사용하고 강원도 화천의 너래안의 들기름을 사용하기에 건강하고 맛있게 드실 수 있어요. 마늘과 양파로 풍미를 극대화한 오일 파스타, 명란 들기름 파스타를 만나보세요. 
                            	
                                
                                    From. 밥상주치의 그리팅


",276g,620kcal
[본가스시]제주 청귤 소바(2인분),0%,"10,500",0,"본가스시는 2021년 최연소 일식 명인 한대원 셰프가 이끄는 일식 전문 브랜드에요.주력 메뉴인 스시를 시작으로 한대원 명인의 아이디어들이 더해진 다양한 메뉴를 선보이고 있답니다. 특히 ""제주 청귤 소바""는 완숙귤보다 신맛이 좋아 제주의 상큼함과 싱그러움을 맛보실 수 있어요. 
                            	
                                
                                    From. 밥상주치의 그리팅


",1114g,0kcal
[모두의맛집] 조기종의향미각 알꼬막짬뽕,0%,"16,000",0,"현대그린푸드, 와디즈, 전국 로컬 맛집 사장님이 모여 매장의 시그니처 메뉴를 간편식으로 개발해 고객님의 집 앞에 전달드리는 '모두의맛집' 조기종의향미각 알꼬막 짬뽕을 소개해요. 닭뼈를 사용해 정성스럽게 우려 진한 닭육수를 베이스로 매장의 불맛을 살린 다대기까지 준비했어요. 청정지역 여수 '여자만'에서 채취한 꼬막도 넣었어요. 1인분씩 손질된 구성품으로 조리하기에도 간편하실 거예요. 대전 맛집 조기종의향미각의 알꼬막 짬뽕을 이제 집에서 만나보세요. 
                            	
                                
                                    From. 밥상주치의 그리팅


",1320g,0kcal
[모두의맛집]이태리국시 숯불대창파스타(2인분),0%,"23,000",0,"

                                    From. 밥상주치의 그리팅


",832g,0kcal
[모두의맛집]이태리국시 곱창치즈파스타(2인분),0%,"23,000",0,"

                                    From. 밥상주치의 그리팅


",932g,0kcal
장칼국수,0%,"7,600",0,"얼큰한 국물이 생각나는 날, 풍성하게 즐길 수 있는 장칼국수를 준비했어요. 국산 표고버섯과 쥬키니 호박 등 채소를 넣어 풍부한 식감을 더했어요. 보리고추장과 황태채 그리고 숙성 어간장을 넣어 감칠맛도 한껏 살렸답니다. 후루룩 먹다 보면 콧등에 땀이 송골 송골 맺히는 게, 기분 좋은 한 끼를 만들어 줄 거예요. 
                            	
                                
                                    From. 밥상주치의 그리팅


",426g,510kcal
게살내장솥밥,10%,"5,850","6,500","입안 가득 고소한 바다의 향을 느끼게 해줄 게살내장솥밥을 소개해요. 국산 홍게 다리살은 흰자와 보슬보슬 볶아내어 더욱 부드러워요. 곱게 간 게 내장은 뭉근하게 졸여 깊은 맛을 냈답니다. 게살과 내장이 만들어내는 환상적인 조화를 지금 느껴 보세요. 
                            	
                                
                                    From. 밥상주치의 그리팅


",264g,470kcal
양솥밥,0%,"6,500",0,"쫄깃한 식감의 소 막창과 양을 듬뿍 얹은 먹음직스러운 양솥밥을 소개해요. 달짝지근한 간장 소스와 양 특유의 촉촉한 식감에 금세 한 공기 뚝딱하실 거예요. 씹을수록 고소한 풍미를 자랑하는 양솥밥을 지금 만나보세요. 
                            	
                                
                                    From. 밥상주치의 그리팅


",285g,510kcal
치즈불닭솥밥,10%,"5,400","6,000","매콤한 맛을 즐기는 매운맛 마니아라면, 지금 소개하는 상품을 주목해 주세요. 그리팅에선 불닭의 매콤함으로 입맛을 제대로 돋워 줄 치즈불닭솥밥을 준비했어요. 여기에 솔솔 뿌려 먹는 치즈는 깊은 풍미를 더해주죠. 기분 좋은 매콤함에 자꾸만 손이 가는 중독적인 불닭 솥밥을 지금 만나 보세요. 
                            	
                                
                                    From. 밥상주치의 그리팅


",267g,510kcal
미나리 얼큰굴백짬뽕밥,0%,"12,800",0,"영양 가득한 굴을 가득 담은 굴백짬뽕밥을 준비했어요. 신선한 미나리를 넣어 아삭한 식감을 더했답니다. 뜨끈한 국물과 함께 술술 먹다 보면 어느새 한 그릇 뚝딱 비우실 거예요. 입안 가득 퍼지는 시원한 바다향을 지금 굴백짬뽕밥과 함께 느껴 보세요. 
                            	
                                
                                    From. 밥상주치의 그리팅


",435g,350kcal
부채살조림솥밥,0%,"8,500",0,"두툼한 부채살의 담백한 맛은 언제나 기분 좋은 한 끼를 만들어 주죠. 그리팅에선 육즙 가득 부채살을 얹은 솥밥을 준비했어요. 한입에 먹기 쉬운 크기의 부채살은 짭쪼름한 양념에 뭉근하게 졸여 냈어요. 솥밥에는 버터를 넣어 한층 진한 향과 풍미를 더했답니다. 한 입씩 먹을 때마다 입안 가득 퍼지는 육즙의 향연을 지금 느껴 보세요. 
                            	
                                
                                    From. 밥상주치의 그리팅


",328g,585kcal
명란버터솥밥,10%,"5,220","5,800","영롱한 빛깔의 명란은 따뜻한 밥에 살포시 얹어 먹으면 한 그릇 뚝딱이죠. 오늘은 그리팅이 야심 차게 준비한 명란버터솥밥을 소개할게요. 명란은 고소한 버터와 들기름과 함께 볶아 진한 풍미를 자랑해요. 송송 썰은 마늘종과 다진 표고버섯은 풍부한 식감까지 선사해 주죠. 입안에서 톡톡 터지는 명란의 짙은 매력에 흠뻑 빠져 보세요. 
                            	
                                
                                    From. 밥상주치의 그리팅


",246g,460kcal
전복내장솥밥&팽이다시마조림,5%,"6,170","6,500","영양 가득한 국산 전복 내장을 넣어 고슬고슬하게 지은 솥밥을 준비했어요. 다진 소라살과 신선한 당근을 넣어 더욱 풍부한 식감을 즐길 수 있어요. 팽이버섯과 다시마를 졸여내어 만든 팽이 다시마조림도 함께 즐겨 보세요. 쫄깃한 식감이 매력적인 국산 팽이버섯을 사용하여 더욱 건강하답니다. 전복 내장부터 오독오독한 다시마까지, 바다 내음 가득한 건강한 솥밥을 이제 우리 집 식탁에서 즐겨 보세요. 
                            	
                                
                                    From. 밥상주치의 그리팅


",254g,405kcal
곤드레옥수수솥밥&매콤황태채볶음,5%,"5,510","5,800","곤드레 나물의 은은한 향긋함이 담긴 솥밥을 준비했어요. 솥밥에는 신선한 국산 곤드레를 사용해 믿음을 더했고, 옥수수를 함께 넣어 톡톡한 식감도 같이 즐길 수 있답니다. 매콤하면서 쫄깃한 황태채는 가시를 제거해 더욱 부드러워요. 솥밥에 황태채와 참기름을 넣고 슥슥 비벼주면 든든한 한 끼가 완성돼요. 
                            	
                                
                                    From. 밥상주치의 그리팅


",253g,415kcal
부지깽이 김치솥밥&언양식불고기,5%,"5,510","5,800","아삭한 김치와 국산 부지깽이를 넣고 고슬고슬하게 지어낸 솥밥을 준비했어요. 참기름에 달달 볶은 김치가 들어가 더욱 고소한 풍미를 느낄 수 있어요. 남녀노소 누구나 좋아하는 언양식 불고기는 육질이 부드럽고 고소한 맛이 일품이랍니다. 부지깽이 김치 솥밥에 언양식 불고기와 참기름을 넣고 슥슥 비벼 드시면 푸짐한 한끼가 완성됩니다. 
                            	
                                
                                    From. 밥상주치의 그리팅


",253g,415kcal
풍기리소토 ,10%,"8,100","9,000","

                                    From. 밥상주치의 그리팅


",330g,405kcal
짬뽕죽 (1인분),15%,"5,520","6,500","

                                    From. 밥상주치의 그리팅


",330g,265kcal
불낙죽 (1인분),0%,"7,000",0,"

                                    From. 밥상주치의 그리팅


",330g,200kcal
전복 내장죽 (1인분),0%,"8,500",0,"

                                    From. 밥상주치의 그리팅


",330g,175kcal
새우 아스파라거스죽 (1인분),10%,"5,850","6,500","

                                    From. 밥상주치의 그리팅


",330g,185kcal
해초 전복죽 (1인분),0%,"8,500",0,"

                                    From. 밥상주치의 그리팅


",330g,180kcal
단호박죽 ,5%,"5,700","6,000","진노란 색깔과 은은한 달콤함으로 마음을 부드럽게 풀어줄 단호박죽을 준비했어요. 설탕 대신 올리고당으로 단맛을 끌어 올렸답니다. 국산 찹쌀가루로 뭉근하게 끓여낸 단호박죽으로, 기분 좋은 하루를 완성해 보세요.

                                    From. 밥상주치의 그리팅


",330g,320kcal
[소프트프로틴] 황태미역죽,10%,"5,400","6,000","

                                    From. 밥상주치의 그리팅


",300g,215kcal
[소프트프로틴] 수삼삼계죽,10%,"5,400","6,000","

                                    From. 밥상주치의 그리팅


",300g,245kcal
전복죽(1인분),10%,"6,480","7,200","몸이 무겁게 느껴지는 날이면 가장 먼저 생각나는 한 끼, 전복죽이에요. 탱탱한 전복과 소라살을 먹기 좋게 다져 식감을 끌어올리고, 알프스산 암염으로 정성 한 꼬집을 더했어요. 보양과 위로의 마음을 담은 전복죽 한 그릇을 만나보세요. 
                            	
                                
                                    From. 밥상주치의 그리팅


",330g,165kcal
소고기야채죽(1인분),10%,"4,950","5,500","고소한 소고기와 5가지 채소를 함께 끓여 영양 밸런스를 맞춘 소고기 야채죽이에요. 신선한 국내산 쌀을 사용해 믿음을 더했어요. 히말라야산 암염소금으로 깔끔한 한 그릇을 완성했답니다. 모두에게 환영받는 소고기 야채죽으로 든든함을 챙기세요.

                                    From. 밥상주치의 그리팅


",330g,150kcal
[프레드] 프로틴 스콘 4종,20%,"3,600","4,500","이제 스콘도 부담없이 먹을 수 있는 프레드의 프로틴 스콘을 소개해요. 단백질을 UP 칼로리는 DOWN, 하지만 먹는 즐거움은 그대로! 식이섬유가 풍부한 100% 통밀가루로 만들었어요. 버터의 고소함과 밀도 있는 묵직한 스콘의 매력은 그대로! 원재료가 다르면 스콘도 안심하고 드실 수 있답니다. 식단 조절 중 간식이 땡길 때 또는 스콘을 먹긴 부담스러운 야심한 시간 뭘 먹을지 고민된다면 영양가득한 프레드 스콘으로 당신의 건강한 하루를 지켜드립니다. 
                            	
                                
                                    From. 밥상주치의 그리팅


",85g,0kcal
[vezzly] 부드럽고 진한 수플레 치즈케이크,0%,"15,000",0,"엄선된 원재료로 매일 현장에서 직접 구워내는 원칙을 지키는 현대백화점 프리미엄 베이커리 브랜드 '베즐리(Vezzly)'의 부드럽고 진한 수플레 치즈케이크를 집에서도 즐겨보세요.수플레는 케이크 반죽에 머랭을 넣고 부풀려 한층 부드러운 맛을 느낄 수 있는 베이킹의 한 종류인데요. 다른 치즈케이크에 비해 폭신폭신하고 촉촉한 식감이 매력적이죠.베즐리는 고온에서 구워내 입안에서 사르르 녹는 수플레 치즈케이크를 만들었어요. 크림치즈의 녹진한 풍미가 어우러져 깊고 진한 맛을 가득 느낄 수 있답니다. 냉장 해동 후 시원한 상태로 드시면 꾸덕한 식감이 살아나 더욱 맛있어요. 쌉싸름한 블랙커피부터 고소한 우유까지, 어떤 음료와도 잘 어울리니 우리가족 티타임 간식으로도 제격이에요. 
                            	
                                
                                    From. 밥상주치의 그리팅


",470g,1413kcal
[vezzly] 진짜 맛있는 당근 케이크,0%,"15,000",0,"현대백화점 프리미엄 베이커리 브랜드 '베즐리(Vezzly)'의 노하우와 레시피로 만든 당근케이크를 소개해요. 포슬포슬한 시트에 달콤한 당근이 콕콕, 여기에 향긋한 계피 향까지 어우러진 당근케이크는 음미하며 즐길수록 본연의 매력을 만끽할 수 있는 선물 같은 디저트죠. 베즐리는 신선한 국산 생 당근과 코코넛롱, 호두를 듬뿍 넣어 풍성한 식감과 깊은 단맛을 더했어요. 밀가루로 반죽해 촉촉하고 건강한 시트 사이사이로 밀도있게 들어찬 속재료가 눈과 입을 행복하게 해 줄 거예요. 소복히 내린 눈처럼 두툼하게 펴바른 크림치즈 프로스팅은 한 입 먹는 순간 사르르 녹으며 입 안 가득 달콤함을 채워준답니다. 나른한 오후, 따뜻한 블랙커피에 한 조각을 곁들여보세요. 
                            	
                                
                                    From. 밥상주치의 그리팅


",470g,1974kcal
[vezzly] 이름난 마들렌 (3입),0%,"7,500",0,"엄선된 원재료로 매일 현장에서 직접 구워내는 원칙을 지키는 현대백화점 프리미엄 베이커리 브랜드 '베즐리(vezzly)'의 마들렌을 소개해요. 신선한 계란으로 반죽을 만들고, 포슬포슬한 식감이 살아있도록 구워냈어요. 크림을 넣어 식감은 부드러워지고 빵의 풍미는 한층 더해줬어요. 달달하고 부드러운 빵이 생각날 때 베즐리 마들렌과 함께해보세요. 
                            	
                                
                                    From. 밥상주치의 그리팅


",150g,580kcal
[vezzly] 플레인 스콘(4개입),0%,"10,000",0,"엄선된 원재료로 매일 현장에서 직접 구워내는 원칙을 지키는 현대백화점 프리미엄 베이커리 브랜드 '베즐리(Vezzly)'의 '플레인 스콘(4개입)'을 소개해요. 베즐리 플레인 스콘은 고소한 버터와 달콤한 브라운 슈가를 넣어 만들었어요. 버터의 진한 풍미는 물론 브라운 슈가의  기분 좋은 달달함도 느끼실 수 있을 거예요. 실온에서 3~40분 후 해동 후 바로 드셔도 좋고, 에어프라이어에 데워드셔도 좋습니다. 
                            	
                                
                                    From. 밥상주치의 그리팅


",340g,1352kcal
[vezzly] 바스크 치즈케이크,0%,"8,500",0,"

                                    From. 밥상주치의 그리팅


",180g,506kcal
[vezzly] 새벽 5시에 갓 짠 진짜 우유식빵,0%,"5,500",0,"그리팅과 현대백화점 프리미엄 베이커리 브랜드 '베즐리(Vezzly)'가 함께 선보이는 우유식빵입니다. 물 한 방울 섞지 않고 그리팅 지정목장에서 당일 착유한 <그리팅> 새벽 5시에 갓 짠 무항생제 우유로 반죽해 빵 결이 부드럽고 폭신해요.신선한 우유와 뉴질랜드산 프리미엄 버터 등 양질의 재료로 기본에 충실한 맛을 냈어요. 담백하고 고소해 샌드위치나 토스트로 만들어 먹기에도 좋답니다. 
                            	
                                
                                    From. 밥상주치의 그리팅


",400g,1058kcal
[vezzly] 이즈니 미니 크로와상 생지(10개입),0%,"10,800",0,"

                                    From. 밥상주치의 그리팅


",300g,1350kcal
[vezzly] 통밀 7곡 식빵 ,0%,"6,200",0,"

                                    From. 밥상주치의 그리팅


",400g,1025kcal
[vezzly] 올리브 식빵,0%,"5,800",0,"

                                    From. 밥상주치의 그리팅


",400g,1144kcal
[vezzly] 방콕 세트,0%,"11,000",0,"엄선된 원재료로 매일 현장에서 직접 구워내는 원칙을 지키는 프리미엄 베이커리 브랜드 '베즐리(Vezzly)'의 베스트셀러를 집에서도 맛있게 즐겨 보세요.밀푀유식빵 1/2, 그리팅 무항생제 우유로 만든 식빵 4입, 비건식빵 4입 , 모닝롤 4입 그리고 통밀7곡식빵 2입까지, 5가지 베스트셀러를 한 번에 즐길 수 있는 꾸러미 세트입니다. 다양한 종류의 빵을 합리적인 가격대로 준비했답니다. 

                                    From. 밥상주치의 그리팅


",565g,1621kcal
[vezzly] 밀푀유 식빵,0%,"7,300",0,"

                                    From. 밥상주치의 그리팅


",330g,1163kcal
[vezzly] 좋은아침 모닝롤 (6입),20%,"2,960","3,700","

                                    From. 밥상주치의 그리팅


",135g,339kcal
[vezzly] 까사테라,0%,"6,800",0,"

                                    From. 밥상주치의 그리팅


",180g,541kcal
[vezzly] 미미 카스테라,0%,"5,200",0,"

                                    From. 밥상주치의 그리팅


",115g,539kcal
[vezzly] 비건식빵,0%,"4,200",0,"

                                    From. 밥상주치의 그리팅


",185g,584kcal
[널담]뚱낭시에 8구 세트,10%,"14,850","16,500","4cm 두께로 한입 가득 풍미가 진하게 느껴지는 겉바속쫀 구움과자, 널담의 뚱낭시에를 소개해요.겉은 바삭, 속은 쫀득한 휘낭시에 반을 갈라 부드러운 크림을 가득 채워 두툼한 두께의 휘낭시에예요.황치즈, 솔티드바닐라, 군고구마, 다크초콜릿, 녹차커스터드, 무화과크림치즈, 초코칩, 레몬얼그레이 8가지 맛을 모두 담아 다양하게 즐길 수 있는 널담 뚱낭시에 8구 세트를 그리팅에서 만나보세요. 
                            	
                                
                                    From. 밥상주치의 그리팅


",50g*8입,0kcal
[널담]비건 크로와상 플레인,10%,"3,600","4,000","비건 버터로 고소한 풍미를 더한 100% 식물성 크로와상, 널담의 크로와상을 소개해요.우유, 버터, 계란과 같은 동물성 원료를 사용하지 않은 100% 식물성 크로와상으로 더 가볍고 건강하게 즐길 수 있어요.널담 R&D 센터의 자체 기술력과 2,000번 이상의 테스트 끝에 개발한 비건 버터로 동물성 버터 없이 만들었답니다.겉은 바삭하고 속은 푹신한 비건 크로와상을 그리팅에서 만나보세요. 
                            	
                                
                                    From. 밥상주치의 그리팅


",80g,340kcal
[널담]비건 베이글 크랜베리&호두,10%,"2,250","2,500","단백질은 더하고 설탕은 덜어낸 100% 식물성 고단백 저당 베이글을 소개해요.널담의 베이글은 단백질이 풍부한 분리대두단백을 담고 설탕을 낮추는 대체당 말티톨을 사용해 만든 고단백 베이글이에요.우유, 버터, 계란과 같은 동물성 원료를 사용하지 않은 100% 식물성 베이글로 더 가볍게 널담의 비건 베이글 크랜베리&호두맛을 즐겨보세요. 
                            	
                                
                                    From. 밥상주치의 그리팅


",140g,399kcal
[널담]비건 베이글 흑임자,10%,"2,520","2,800","단백질은 더하고 설탕은 덜어낸 100% 식물성 고단백 저당 베이글을 소개해요.널담의 베이글은 단백질이 풍부한 분리대두단백을 담고 설탕을 낮추는 대체당 말티톨을 사용해 만든 고단백 베이글이에요.우유, 버터, 계란과 같은 동물성 원료를 사용하지 않은 100% 식물성 베이글로 더 가볍게 널담의 비건 베이글 흑임자맛을 즐겨보세요. 
                            	
                                
                                    From. 밥상주치의 그리팅


",140g,388kcal
[널담]비건 베이글 플레인,10%,"2,250","2,500","단백질은 더하고 설탕은 덜어낸 100% 식물성 고단백 저당 베이글을 소개해요.널담의 베이글은 단백질이 풍부한 분리대두단백을 담고 설탕을 낮추는 대체당 말티톨을 사용해 만든 고단백 베이글이예요.우유, 버터, 계란과 같은 동물성 원료를 사용하지 않은 100% 식물성 베이글로 더 가볍게 널담의 비건 베이글 플레인맛을 즐겨보세요. 
                            	
                                
                                    From. 밥상주치의 그리팅


",140g,381kcal
[널담]비건 브라우니 초코 1BOX(3입),15%,"6,800","8,000","친환경적 가치를 담아낸 지구의 내일을 위한 푸드 업사이클링 제품, 널담 비건 브라우니를 소개해요.널담은 사람과 지구를 위해 남은 원료를 버리지 않고, 비건 원료인 병아리콩의 펄프를 갈아서 반죽으로 사용하면서 식품 폐기의 환경 문제를 해결하고 노력했어요.단백질이 풍부한 통밀만을 사용하고 브라우니 특유의 꾸덕찐득한 식감까지 맛볼 수 있는 널담의 비건 브라우니 초코를 즐겨보세요. 
                            	
                                
                                    From. 밥상주치의 그리팅


",100g,390kcal
[널담]비건 마들렌 플레인 1BOX(3입),10%,"7,830","8,700","친환경적 가치를 담아낸 지구의 내일을 위한 푸드 업사이클링 제품, 널담 비건 마들렌을 소개해요.널담은 사람과 지구를 위해 남은 원료를 버리지 않고, 비건 원료인 병아리콩의 펄프를 갈아서 마들렌의 반죽으로 사용하면서 식품 폐기의 환경 문제를 해결하고 노력했어요.버터와 유제품 등 동물성 원료를 전혀 사용하지 않은 100% 식물성 원재료로 만들어져 콜레스테롤이 제로랍니다.콜레스테롤 걱정 없는 건강한 빵, 맛있는 비건 베이커리를 찾는다면 널담의 마들렌 플레인맛을 그리팅에서 만나보세요. 
                            	
                                
                                    From. 밥상주치의 그리팅


",50g*3입,0kcal
[널담]비건 마들렌 레몬 1BOX(3입),10%,"7,830","8,700","친환경적 가치를 담아낸 지구의 내일을 위한 푸드 업사이클링 제품, 널담 비건 마들렌을 소개해요.널담은 사람과 지구를 위해 남은 원료를 버리지 않고, 비건 원료인 병아리콩의 펄프를 갈아서 마들렌의 반죽으로 사용하면서 식품 폐기의 환경 문제를 해결하고 노력했어요.버터와 유제품 등 동물성 원료를 전혀 사용하지 않은 100% 식물성 원재료로 만들어져 콜레스테롤이 제로랍니다.콜레스테롤 걱정 없는 건강한 빵, 맛있는 비건 베이커리를 찾는다면 널담의 마들렌 레몬맛을 그리팅에서 만나보세요. 
                            	
                                
                                    From. 밥상주치의 그리팅


",50g*3입,0kcal
