itemname,contents
[1Table] 한우 잡채볶음밥,"부재료가 제법 많이 들어있고 예상한 그런 맛?ㅎㅎ
잘 안씹히는 소고기가 가끔 있긴했지만 맛은 괜찮은 편입니다. 
간은 다른 볶음밥들도 그렇고 저한텐 살짝 싱거워서 소금 쳐서 먹었습니다.
2봉 들어있는데 전 한봉으론 살짝 부족하네요ㅋ"
[1Table] 와규 함박스테이크,후기가 좋아서 시켜봤는데 소스도 맛있고 고기도 맛나서 아이가 잘먹었어요. 또 주문해도 될것같아요.
미나리 주꾸미볶음 ,"봄향기 그득한 봄 미나리 쭈꾸미볶음~♡
신랑 퇴근 후 맥주한잔 안주로도 완전 좋아요.
아이들 저녁식사도 한그릇 뚝딱^^

맛있어요^^"
건강한 자장소스,짬뽕보단 짜장을 좋아해서요. 배달음식은 MSG가 많아 먹을땐 좋은데 속이 더부륵 하더라구요. 냉동실에 보관했다 짜증날때마다 밥에 비셔서 먹어야지ㅋ
미트 토마토 파스타,포인트 받을려고 댓글을다네요. 요즘같은시국에는 동전 한개라도 아껴야죠ㅎ 건강한 파스타라니 먹고 후기를 남겨야죠~~좋은것은 같이 드셔야죠
매운 해물죽 (1인분),"신선한 해물 가득~얼큰한 짬뽕맛도 좋아요^^
간단히 와인 안주로도 좋아요^^"
콜리플라워 치즈그라탕,"평소 식습관이 빵, 면인데 건강하게 맛있게 먹을수 있을까해서 구매해봅니다. 맛없음 추천인 응징할꺼에요ㅎㅎ"
[vezzly] 까사테라,맛있어요!!!  근데 엄청 부드럽고 엄청 촉촉하지는 않아요ㅎㅎㅎㅎ너무 기대하지말고 배송시키면 좋을것같아용
방풍나물&고구마 스프 (1인분),"제 입맛에는 짰지만 맛있에요

염도도 조절할 수 있으면 정말 좋겠네요"
민들레 닭살볶음 세트 ,"민들레 닭살볶음 세트 

정말 건강식! 

민들레는 정말 새로운데요? 

좋아요~ 
"
모링가 돼지고기 된장찜 세트,"모링가 돼재고기 된장찜 

정말 건강식! 

간이 심심하긴 하지만 먹고 나면 딱 건강해졌다는 느낌이 확옴 "
흑미 시트러스 샐러드,"흑시 시트러스 샐러드  

그리팅 샐러드 중 가장 맛있는거 같습니다 

포만감도 있고

전 흑미가 넘 좋아요 ㅋㅋ "
[1Table] 와규 함박스테이크,간편하게 먹을수 있네요~ 4살 7살 아이들이 맛있다고 하네요~~~
여주 소불고기 세트,"여주 소불고기 메뉴는 계속 있네요~ 

저당식 베스트 메뉴? 

좋아요~ "
모짜렐라 루꼴라 샐러드,"모짜렐라 루꼴라  치즈를 넘 좋아해서 
시켰는데 좋네요ㅇ

양도 많고 맛있어요 

굿 

"
소고기 다시마채 장조림,딸이 땡죽에서 판매하는 장조림 맛이라며 잘 먹어서 재구매했습니다. 부드럽고 양도 많아서 만족해요
[1Table] 냉이 된장찌개,"냉이, 한우 함께 들어간 국을 쉽고 맛있게 끓일수 있어서 만족해요. 봉지만 살짝 뜯어 직접 끓인듯 내놓으니 신랑이 잘 먹네요~"
[1Table] 냉이 된장찌개,"냉이, 한우 함께 들어간 국을 쉽고 맛있게 끓일수 있어서 만족해요. 봉지만 살짝 뜯어 직접 끓인듯 내놓으니 신랑이 잘 먹네요~"
오리불고기 향채 샐러드 세트 ,오리불고기 샐러드 고급지고 부드럽고 향긋한 맛이네요. 함께 구성된 곡물범벅도 새롭고 맛있었어요.
민들레 닭살볶음 세트 ,"흔하게 볼수 있지만 먹을수 있는 기회는 흔치 않은데 이렇게 봄을 느낄수 있어서 좋았습니다. 향도 좋고, 닭도 부드럽고 맛있어요"
[1Table] 제주 흑돼지 갈비만두,18개가 들어있어서 혼자먹기에는 많고 두번에 나눠먹었네요 ㅎㅎ 감사합니다
토마토 견과 카레소스,다소 짜다고 느낄수있으나 빵이나 밥과 함께 먹으면 적당해요. 냉동보관이라 장기보관이 되어 편리하네요.
모짜렐라 루꼴라 샐러드,바쁜스케쥴로 3일이 지난후에 먹었지만 다양한채소믹스와 루꼴라가 신선하였어요. 
소고기 다시마채 장조림,부드러운 쇠고기우둔살와과 다시마채가 적당히 간이 베어 아이반찬으로 잘 먹였습니다.
커리 치킨 샐러드,치킨양념이 맛있었으며 부드러워요. 샐러드양이 넉넉해서 충분히 한끼 식사로 해결되네요.
입에서 녹는 동파육,"집에서 쉽게 할 수 없는 요리^^
고기는 부드럽고, 청경채는 아삭아삭~

전자렌지 보다는 불을 이용해 데워먹으니
본연의 맛을 더 느낄수 있는듯!!

한잔이 ..두잔..^^!!
중화풍향이 과하지 않아 딸아이도 잘 먹네요~♡"
토마토 견과 카레소스,묽지 않고 되직해서 둘이서 중분히 나눠먹었어요^^ 아들은 연어 남편은 달과 버섯 구이를 곁들여 주니 잘 어울리던군요^^ 묽은 커리와는 질적 차이가 엄청나네요^^ 요거 냉동고 쟁여놓기 찜합니다
커리 치킨 샐러드,아침을 자주 못챙겨 먹는데 이건 들고다니기도 괜찮구 양도 엄청 많아 든든합니다.
미나리 주꾸미볶음 ,양념도 꾸덕하니 밥비벼먹기 좋고 간도 잘베여있으며 미나리향 폭발합니다 진심 강추합니다!
비트&베리 스무디,"받고나서 한참 들여다봤네요
비트하고 베리를 섞어놓으니 너무 예쁜 색감에 식욕이 후끈 생깁니다.
적당한 농도에 산뜻한 맛  너무 마음에 드네요
재구매 강추"
비트 생깻잎지,"살아있는 생생한 식감의 깻잎
적당히 들어간 비트로 완벽한 색감 완성
짜지 않은 달임간장 사용으로 감칠맛 대박
식구들이 엄청 좋아한 메뉴입니다."
비트 무화과 타히니 샐러드,"새벽 3시반쯤 무지 일찍 배송된 문자보고,아침일어나서 먹었는데 너무 맛있었어요.가격이 만만치 않아서 자주먹기가 좀 힘들어서 아쉬워요.그런데 칼로리가 보기보다 높긴하더라구요."
들깨 시래기나물,짜지도 싱겁지도 않고 깨끗한맛이라고 해야 하나요...왠지  건강식을 먹는 기분...
미나리 주꾸미볶음 ,"부드러운 쭈꾸미에
향긋한 미나리 조합이 너무 좋네요^^"
비트&베리 스무디,"5가지스무디중에서 아이들이 가장좋아하는
스무디입니다 아이스크림대용으로좋아요"
단호박&파프리카 스무디,"색도너무예쁘고 단호박을좋아하는저에게
최고의스무디입니다 
단호박죽과는 다른 또다른 맛이에요"
닭다리살구이,"이것만5번이상구매한듯하네요,
가족모두가정말맛있게먹고있어요
반찬중최고의제품입니다"
[1Table] 한우 잡채볶음밥,"온가족주말점심으로최고입니다
고슬고슬맛있어요
3번째구매입니다"
[1Table] 한우 잡채볶음밥,"온가족주말점심으로최고입니다
고슬고슬맛있어요
3번째구매입니다"
소고기 다시마채 장조림,"아이반찬으로좋아요
길이가약간길어 잘게잘라주는데잘먹어요
메추리알장조림도 나왔으면좋겠어요
"
[1Table] 한우 육개장,"원테이블제품은 외식을건강하게먹는듯한
느낌이에요 진하고칼칼한맛좋아요
재구매의사있습니다"
[1Table] 한우 육개장,"원테이블제품은 외식을건강하게먹는듯한
느낌이에요 진하고칼칼한맛좋아요
재구매의사있습니다"
토마토 견과 카레소스,엄마 저당식단에 카레맛보고 넘 맛있어서 따로 주문해봤어요. 일반 카레랑 살짝 다른맛.. 맛도 기가 막히고~ 후회 없으실 꺼예요. 강추입니다~!!
미강 돼지고기 배추볶음 세트 ,"저는 당뇨질환은 없지만
저염 식단을 평소 선호하고 있어서 먹어봤어요.
이게 저당식이 맞나 싶을 정도로
너무 맛있고 메뉴 구성이 알찼습니다.
양은 좀 많은 편이었고
일반인들이 먹기에 전혀 부담이 없는 간입니다.
맛있어요~!"
[vezzly] 밀푀유 식빵,에프에 살짝 돌려먹었더니.. 버터 풍미가 기가 막히네요~ 베즐리 다른빵도 사먹어봐야겠어요~~
[vezzly] 좋은아침 모닝롤 (6입),일반 모닝빵보다도 윤기며 부드러움이 확연히 달라서..확실히 고급진 베즐리네요~ 강추입니다.
건강한 자장소스,"베스트 상품이래서 두말않고 주문해봤어요~
넘 맛있네요. 게다가 된장베이스에 굴소스~ 완전 건강건강함에 감칠맛까지.. 간편하게 렌지에 돌리면 한끼 식사 뚝딱..2인에 6천원 남짓.. 번거롭게 해먹을 필요없이..외식보다도 더 괜찮은것 같네요."
씨푸드 미나리 샐러드 세트 ,"아님 주꾸미 엑기스가 한방울 들어갔나..?
단한마리도 안들어있네요 새우두마리와 토메이토뿐.. 체험팩용이라 그런가요? 이해가 안가네요.

"
[1Table] 와규 함박스테이크,"2팩 들어있구요.
도톰하고 맛있어요.
해동후 구워서 계란후라이  올려주니
저희 딸이 안먹던 밥을 다 먹었어요!
너무 뿌듯합니다~"
모링가 돼지고기 된장찜 세트,돼지찜 된장으로 맛을내어 구수하고 기본적으로간이 짜지않은점이 너무좋아 잘먹고있습니다
포두부 새우 샐러드 세트,"일반배송받았는데 샐러드 너무싱싱하고
새우하고 잘어울립니다"
연자육 소불고기 세트,간이 약할줄 알았는데 그렇지는 않네요 간편하게 여러 반찬을 먹을 수 있는 장점이 있어요 
[1Table] 갈비 낙지 볶음밥,간편하면서도 맛까지 있네요 내용물도 많습니다 2인분으로 배송이 오니 참고하세요 낙지와 갈비의 조합이 너무 좋네요
[1Table] 갈비 낙지 볶음밥,간편하면서도 맛까지 있네요 내용물도 많습니다 2인분으로 배송이 오니 참고하세요 낙지와 갈비의 조합이 너무 좋네요
볶음 쟁반 자장면,"기대했던것보다 훨씬 맛있었어요
웬만한 짜장면집에서 먹는맛과 다를바없네요
강추~
"
들깨 시래기나물,담백한 맛이 예전에 어머니께서 해주시던 시래기 나물 맛을 연상캐하네요~~ 
소고기 곤드레나물볶음 ,간도 삼삼하니 짜지않고 밥 반찬으로 딱이에요 고기도 누린내가 안나서 좋아요
오리 향채소 불고기 세트,"오리향채소불고기 주문해서 먹을때마다만족
하고있습니다. 구성도 좋고 맛도 좋습니다
오리질기지않인좋네요"
오리 향채소 불고기 세트,"오리향채소불고기 주문해서 먹을때마다만족
하고있습니다. 구성도 좋고 맛도 좋습니다
오리질기지않인좋네요"
여주 소불고기 세트,"저당식단 너무만족스러워요
간도잘맞고 건강찬 맛있습니다
소불고기 맛있네요"
아스파라거스 불고기 세트,"아스파라거스 불고기 너무너무 맛있습니다.
간도딱맞고  세트구성이 좋습니다"
당귀 제육볶음 세트,"당귀제육볶음 맛있습니다.
브로코리마늘들깨무침 건겅반찬으로 좋네요"
당귀 제육볶음 세트,"당귀제육볶음 양념도맛있고 고기도부드럽네요
당귀향이나서 좋습니다"
연자육 삼채 소불고기 세트,연자육과 삼채까지 건강식재료 함께들어있어 웰니스식단 특징잘살아있는것같고 다양한 메뉴들 너무잘먹고있습니다 훌륭합니다
인도식 치킨커리 세트 ,"커리 향진하고 맛이 부드럽고 농도도도좋습니다 
함께구성된 찬도 잘어울리네요"
당귀 닭볶음 세트,닭살볶음 부드럽고 당귀향이나서 좋습니다. 찬구성 좋고 간도잘맞습니다
[1Table] 제주 흑돼지 갈비만두,"기대한 거하고는 다른 맛이네요.
불고기 느낌의 속이 씹히는 느낌의 만두를 예상했는데
씹히는 식감이나 모양, 맛이 떡갈비 햄의 그맛입니다.
이 가격에 이정도 맛이라면 그냥 마트에서 사먹는 게 나을듯합니다."
매콤 주꾸미볶음 세트 ,"웰니스식단 너무 좋습니다.
맛있어요^^주꾸미양념맛있네요"
오리 버섯 주물럭 세트 ,오리고기 좋아해서 메뉴구성 될때 선택해서 먹고있는데 질기지않고 너무 좋네요
[1Table] 장조림 버터 볶음밥,간편하면서도 맛까지 있네요 내용물도 많습니다 2인분으로 배송이 오니 참고하세요
[1Table] 장조림 버터 볶음밥,간편하면서도 맛까지 있네요 내용물도 많습니다 2인분으로 배송이 오니 참고하세요
구운채소 곡물 샐러드 세트,"곡물의 고소함과 채소의 싱싱함이 좋네요
그런데 구운채소 곡물 샐러드 세트에 참깨드레싱도 맛있네요 집에 있는 들기름 살짝 뿌려도 맛있구요
건강한 다이어트 스타트~"
 아보카도&케일 스무디,맛은 주문한 스무디 중에 제일 좋았습니다! 아보카도의 느끼함을 잡아줄 수 있게 사과가 조금 더 들어갔으면 좋겠지만요~!
볶음 쟁반 자장면,내가 일부 조리를 해야한다는 귀찮음이 있지만 간도 잘 되어 있고 양도 적당합니다 특히 고기가 많아서 좋았어요
토마토 견과 카레소스,"보통 이런 데워먹는 카레,, 죄다 고기베이스 육수라
카레는 쳐다도 안봤었는데 
이건아니길래 사봤더니 진짜 완전맛있어요
계속 사먹을 것 같아요~"
당귀 주꾸미볶음 세트,"저는 단짠을 즐기는 치료식이 필요없는 일반인인데요.
저당식단! 메뉴도 알차고, 맛도 너무 만족합니다.
저당이라고 해서 처음에는 걱정했지만
어떻게 조리한건지 의심스러울 정도로 너무 맛있어요.^^"
[에르베로씨] 블랙베리잼,"맛은 달지도 시지도 않고 너무 맛있는데 씨가 그대로 있어 자꾸 씹히니 먹는데  불편하네요.아이들이 먹는걸
싫어해요"
[vezzly] 황금식빵,가격에 비해 특별한 맛이 있는건 아니지만 담백한 맛으로   잘 먹었습니다.
[vezzly] 미미 카스테라,"촉촉하고 폭신했어요.
냉장고에  보관해도 부드러운 식감이 좋고 달지 않아서 좋아요"
[1Table] 존쿡 델리미트 부대찌개,"햄만 있고 김치나 다른 재료가 없어서 실망했네요.
육개장과는 완전 딴판. 품질 개선 좀 하세요"
[1Table] 존쿡 델리미트 부대찌개,"햄만 있고 김치나 다른 재료가 없어서 실망했네요.
육개장과는 완전 딴판. 품질 개선 좀 하세요"
소고기 곤드레나물볶음 ,"야들야들하니 맛있네요. 양도 많네요
시래기는 너무 질겨서 소 여물 같았는데.
"
[1Table] 한우 육개장,건더기가 많고 간이 적당해 2명 아이들에게 간편하게 식사를 차려줄 수 있네요
[1Table] 한우 육개장,건더기가 많고 간이 적당해 2명 아이들에게 간편하게 식사를 차려줄 수 있네요
카레스프 (1인분),"벌써 3번째 입니다.  카레좋아하는 저같은 사람들한테
딱입니다~!! 맛있는데 칼로리도 낮음 ㅎㅎ"
방풍나물&고구마 스프 (1인분),"달콤하고 건강한데 맛있어요 애기도 맛있다고
잘먹어요 강추"
[1Table] 와규 함박스테이크,소스랑 같이 되어있어서 전자레인지에 데우기만 하면 되니 진짜편하네요ㅎㅎ 소스가 많이 짜지도 않아서 밥반찬으로 먹기에도 좋아요!ㅎㅎ
방풍나물&고구마 스프 (1인분),방풍나물과의 만남 신선하군요  저렴하게 잘 샀네요  간편하게
볶음짬뽕,"면양이 조금 부족한거같아서 원테이블갈비낙지볶음밥하고 같이먹었는데 면발도 좋고 맛있습니다ㅎ
담에는 면다먹고 흰？에 참기름 김기루넣고 볶아먹어봐야겠습니다"
방풍나물&고구마 스프 (1인분),"두돌도 안된 딸이 벌써 색구분을 해서 밥을 먹는데
정말 한입억지로 먹여봤더니
자기가 스스로 반그릇 순삭했어요
브런치로도 제격인 고급스러운 스프 입니다."
낙지 김치죽 (1인분),"매콤 시원한맛. 해장에도 좋아요
또먹고싶네요.다시중순하렵니다


"
[1Table] 존쿡 델리미트 부대찌개,"맛있어요~~
안에 내용물이 푸짐해서 맛있어요.
간단하게 먹기 좋아요"
[1Table] 존쿡 델리미트 부대찌개,"맛있어요~~
안에 내용물이 푸짐해서 맛있어요.
간단하게 먹기 좋아요"
방풍나물&고구마 스프 (1인분),"상당히 특이한 맛이나네요..
완전 건강함이 느껴지는 맛입니다.
"
아마란스 진미채무침 ,"늘 먹던 진미채와는 살짝 다른 느낌도 있는데요 
건강한 맛이예요!ㅎㅎ 양은 많지 않지만.. 한끼 반찬용으로 괜찮은 것 같네요ㅎㅎ"
[1Table] 화식한우 사골곰국,국물이 진하고 잡내나지 않는 맛이라 아주 좋습니다 가격도 좋네요
[1Table] 화식한우 사골곰국,국물이 진하고 잡내나지 않는 맛이라 아주 좋습니다 가격도 좋네요
[1Table] 제주 흑돼지 갈비만두,크기가 적당해서  먹기 좋네요  갈비향이 많이나요 맛있어요
리코타 허브감자 샐러드,"리코타치즈 감자 드레싱 제일 잘어울리는 조합같습니다!
다음에도 재구매!"
해초 전복죽 (1인분),"주말아침 전복죽 한그릇 뚝딱하네요~재구매합니다~
너무 맛있어요!!"
[1Table] 화식한우 사골곰국,"한우로 끓인 사골곰국은 역시 맛이 다릅니다. 
정말 진하고 고소한맛 
집에서끓여도 이맛이 안나올것 같아요"
[1Table] 화식한우 사골곰국,"한우로 끓인 사골곰국은 역시 맛이 다릅니다. 
정말 진하고 고소한맛 
집에서끓여도 이맛이 안나올것 같아요"
유근피 녹두 삼계죽 (1인분),"정말 사먹어본 죽중에 제일 맛있습니다. 심지어 집에서 쑨 죽, 본 보다 훨씬 맛있는 정말 맛있고 건강한 삼계죽이었어요. 너무 고소하고 진하고 재료도 건강하고 비싼만큼 품질이 최고네요. 그리팅 이미지가 좋아졌습니다!"
[1Table] 화식한우 사골곰국,"소금간만 해서 먹어도 맛있네요~~
담 주문때 또 시켜야겠어요~~"
[1Table] 화식한우 사골곰국,"소금간만 해서 먹어도 맛있네요~~
담 주문때 또 시켜야겠어요~~"
[vezzly] 까사테라,"환경을 생각하는 포장재들 정말 맘에 드네요.
까사테라는 식후 디저트로 안성맞춤이네요.
체중관리해야하는데 과식했어요 ㅜㅜ"
[1Table] 와규 함박스테이크,"생각보다 제품이 괜찮네요.
아이들이 좋아해요. 밥하고 뚝딱"
[1Table] 갈비 낙지 볶음밥,"아이들이 맛있게 잘먹었어요.
볶음밥 덮밥류가 많으면 좋겠습니다."
[1Table] 갈비 낙지 볶음밥,"아이들이 맛있게 잘먹었어요.
볶음밥 덮밥류가 많으면 좋겠습니다."
부드러운 닭가슴살 콥 샐러드,"야채와 닭가슴살이 잘 어울리네요.
샐러드는 전체적으로 신선하고 맛있어요 "
햄프씨드 연어구이 샐러드,"연어가 비리지 않을까 걱정했는데 맛있었어요.
야채와 잘어울리고 좋았어요."
카레스프 (1인분),"한끼 먹기 딱 좋은 양이네요.
야채도 많이 들어 있고 
넘 자극적인 맛이 아니라 좋네요."
흑미 시트러스 샐러드,흑미와 샐러드가 잘 어울리네요. 야채도 신선하고 좋아요.
구운채소 곡물 샐러드,"구운채소라고 해서 구운맛을 기대했는데, 이걸 데워먹어야돼나 고민할정도로 맛을 잘 모르겠음. 그렇다고 맛은 없는건 아님 "
패밀리 패키지,"맛있습니다.
생각보다 맛있고 양도 적당한 편입니다.
다만 비트 깻잎지가 생내가 살짝~
전체적으로 너무 맛있게 먹어서 
또 주문하겠습니다."
미트 토마토 파스타,재료가 신선하고 맛이 강하지 않아서 아이들이 먹기 좋아요. 동물모양 면은 숟가락으로 떠서 드셔야 해요. 맛이 괜찮습니다.
[vezzly] 쫄깃한 100℃ 식빵,동네 흔한 식빵보다는 낫긴 한데..              대단한 맛은 없네요
진피 고추기름,"고추기름 다용도로                                                          
쓸수 있을 거 같아요"
볶음 쟁반 자장면,"자장맛도,
고기 새우 오징어가 적절히 느끼함 없이 좋고,
면도 적당히 쫄깃하면서 식감이 좋습니다.
다만 내가 양이 커서 좀 양이 부족한 듯,
가격도 조금 낮추었으면 경쟁력 있겠는데,...
맛있게 먹다 보니 거의 다 먹은 사진 밖에 ..."
흑미 시트러스 샐러드 세트,"맛있게 잘 먹었습니다.

양을 조금 줄여도 좋을 것 같단 생각이 드네요.

혼자 먹기엔 조금 많은 양이라 남기게 됩니다."
들깨 시래기나물,시래기나물은 질기기 쉬워서 집에서 하기 쉽지 않은 나물중 하나인데 하나도 안 질기고 양념도 깔끔하고 맛있었어요. 나물이 마음에 드니 여기 제품들에 믿음이 갑니다.
방풍나물&고구마 스프 (1인분),"제 입에는 짠데 맛있었어요
그치만 양이 엄청 적어요
쿠폰받고 천원에 구매해서 만족했지만 원래 가격인 오천원에는 글쎄요.."
[vezzly] 까사테라,"부드럽고 맛있어요^^ 최고
4살아이도 잘먹어요!! 또주문할게요"
참취나물무침 ,"나물반찬을 주문하는게 어려운 편이어서 걱정을 많이 했는데 평이 좋아서 구매했어요.
집에서 한것 같은 맛이고 깔끔하고 마음에 들었어요."
[1Table] 갈비 낙지 볶음밥,"양 넉넉하고 맛있었어요
자세히 안보고사서 1인분인 줄 알았는데 2인분이라 더 좋았어요"
[1Table] 갈비 낙지 볶음밥,"양 넉넉하고 맛있었어요
자세히 안보고사서 1인분인 줄 알았는데 2인분이라 더 좋았어요"
아마란스 진미채무침 ,"물건 받은게 23일인데 25일까지라 많이 짧은거같아요
그치만 맛있었고 양도 적어서 한 끼에 사라졌네요"
[vezzly] 비건식빵,"너무맛있어요
크기보고 작아서 뭐지햇는디 진짜맛있어요^^"
문어 카르파쵸 샐러드 세트,다이어트식단으로 구매해서 먹고 있는데 포만감도 들고 신선하고 재료들이 좋아서 건강해지는 기분이에요
단호박 씨드범벅 샐러드 세트,드레싱이랑 채소들이 잘 맞아서 맛있었어요 돼지고기까지 있어서 저칼로리에 포만감도 들어서 좋아요
[vezzly] 좋은아침 모닝롤 (6입),"좋은아침 모닝롤로 아이들과 함께
쨈빵 만들어먹었어요,
부드럽고 맛있게 먹었습니다"
미나리 주꾸미볶음 ,"양념이 정말 맛있네요^^
밥까지 비벼서 먹었어요
재구매합니다"
건강한 자장소스,"춘장에 설탕이 엄청 많이 들어간다고해서 자장류는 안먹었는데,
이 상품은 된장으로 건강하게 만들었다는 말에 혹해서 구매했어요.
자장이랑 맛도 똑같고, 건더기도 많고 밥에 비벼먹으니 정말 최고예요.
자주 사먹을 것 같아요. 자장면도 나왔던데 사봐야겠어요"
모둠버섯 소불고기 쌈 세트,"웬지 KBS 한국인의 밥상 프로그램에서 본 듯한...

ㅋㅋㅋ 

맛있습니다.

세일 많이해주세요  "
검은콩 캐슈넛 닭볶음 세트,"웬지 KBS 한국인의 밥상 프로그램에서 본 듯한...

ㅋㅋㅋ 

맛있습니다.

세일 많이해주세요  "
오리 버섯 주물럭 세트 ,"웬지 KBS 한국인의 밥상 프로그램에서 본 듯한...

ㅋㅋㅋ 

맛있습니다.

세일 많이해주세요  
"
중국식 궁채 가지볶음,너무 맛있어서 금방 다 먹었어요 ㅠㅠ 다만 양은 좀 적어요 구매하실 때 참고하세요 
소고기 곤드레나물볶음 ,곤드레 나물 맛이 강하지 않고 삼삼해서 더 맛있어요~ 그리팅 나물요리 최고예용 
들깨 시래기나물,맛이 깔끔하고 고급스럽습니다!! 또 구매원해요 조만간 재구매 할 거예요 
노루궁뎅이버섯 스프 (1인분),그리팅몰 상품 대부분 다 맛있어요~ 잘 구매했습니다 재구매예정입니다 
방풍나물&고구마 스프 (1인분),맛있게 잘 먹었어용 맛이 깔끔하고 고급스럽습니다!! 또 구매원해요 
양배추&우엉 스무디,맛있게 잘 먹었어용 맛이 깔끔하고 고급스럽습니다!! 또 구매원해요 
[vezzly] 방콕 세트,"식빵 종합건물세트 같은 느낌이예요
5가지 빵이 한번씩 먹을만큼 들어있어서 맘에 들어요
"
볶음짬뽕,"점심에 뚝딱해서 내놨는데 너무 잘 먹어요
해물도 야채도 넉넉하고 맛있어서 만족해요
재구매하고 갑니다"
미강 돼지고기 배추볶음 세트 ,"요건 비추합니다
돼지고기 넘 두껍고 ㅠㅠ양념도..무슨 맛인지..하아
별루에여..생선두 비려요"
고추잡채 덮밥 소스 세트 ,"고추잡채 소스랑 잘 어울려요 먹을만합니다~~
잡채를 해서 같이먹으면 더 맛있을것 같아요"
당귀 주꾸미볶음 세트,"강추드립니다 반찬도 맛있고 쭈꾸미볶음도 맛나요
샐러드도 유자소스랑 잘 어울려요 좋아요~~~"
[vezzly] 미미 카스테라,"카스테라에서 처음느낀 쪽든함이에요
부드러운데 쫀득해서 너무너무 맛있어요~ 무조건 재구매!!"
소고기 숙주 부추볶음,"숙주가 아주 신선하네요
숙주와 소고기의 조합은 역시 최고에요,
소고기만 후라이팬에 데우고 숙주는 냉기만 살짝 없앴더니 굿굿굿"
모짜렐라 루꼴라 샐러드,"샐러드라 간단히 생각했는데, 다양한 채소와 견과, 치즈등 4명이 함께 먹어도 좋았어요."
중국식 궁채 가지볶음,가지가 맛있네요~~앞으로도 맛나게 부탁드려요~!!!화이팅~!!!
[1Table] 장조림 버터 볶음밥,"역시 원테이블은 내셔널 제품대비 건강하고, 품질이 좋았어요"
[1Table] 장조림 버터 볶음밥,"역시 원테이블은 내셔널 제품대비 건강하고, 품질이 좋았어요"
들깨 시래기나물,시래기 좋아요~~!!몸에 좋은 시래기에 들깨에 건강해질것 같아요？
숙주 부추 소불고기 세트,"감사히 잘먹었고？잘먹겠습니다~~!!!
메뉴중에 저염, 무염식단 준비해주시면 감사할것 같습니다~~!!!"
보리순 그린커리 세트 ,"감사히 잘먹었고？잘먹겠습니다~~!!!
메뉴중에 저염, 무염식단 준비해주시면 감사할것 같습니다~~!!!"
오리고사리 들깨볶음 세트,"감사히 잘먹었고？잘먹겠습니다~~!!!
메뉴중에 저염, 무염식단 준비해주시면 감사할것 같습니다~~!!!"
[1Table] 한우 나주곰탕,"데우기만 하고 냉장이라 더 간편해요
밥말아서 한그릇 후루룩 먹으면 속이 든든해요
"
[1Table] 한우 나주곰탕,"데우기만 하고 냉장이라 더 간편해요
밥말아서 한그릇 후루룩 먹으면 속이 든든해요
"
[1Table] 제주 흑돼지 갈비만두,"갈비만두 원래 좋아하는데 원테이블 역시 맛있어요~!!
냄새도 안나고 딱 좋네요"
여주 소불고기 세트,맛있게 잘 먹었습니다~~!!! 샐러드 소스가 익숙지 않아서신랑 잘 안먹더니 이제 적응했나보네요~~감사합니다
민들레 닭살볶음 세트 ,맛있게 잘 먹었습니다~~!!! 샐러드 소스가 익숙지 않아서신랑 잘 안먹더니 이제 적응했나보네요~~감사합니다
모링가 돼지고기 된장찜 세트,맛있게 잘 먹었습니다~~!!! 샐러드 소스가 익숙지 않아서신랑 잘 안먹더니 이제 적응했나보네요~~감사합니다
참취나물무침 ,맛나게 먹을께요？깔끔하고 보기에도 식욕이 동하네요~!!!
궁채나물볶음,저는 궁채 나물 처음 먹어봤거든요？ 이런 좋은 맛난 음식이 있었네요~~!!!
미트 토마토 파스타,간이 세지않고 건강하네요. 파스타가 동물모양으로 아이들이 재미있어 하네요.
볶음짬뽕,"면도 건강하고, 양념소스도 해산물이 충실하게 들어있어서 좋았어요."
볶음 쟁반 자장면,밀킷으로 간편하게 집에서 조리해 먹을수 있어서 좋았어요. 볶음이라 불맛이 있으면 더 좋을듯...
문어 카르파쵸 샐러드 세트,"새벽배송으로 그날 만든 샐러드를 신선하게 받고 있습니다~ 맛도 맛이지만 무엇보다 좋은 재료, 좋은 레시피가 한몫했다고 생각이 듭니다. 앞으로도 더욱더 많은 이벤트 기획전으로 자주 접하고 싶어요~"
비트 무화과 타히니 샐러드,"새벽배송으로 그날 만든 샐러드를 신선하게 받고 있습니다~ 맛도 맛이지만 무엇보다 좋은 재료, 좋은 레시피가 한몫했다고 생각이 듭니다. 앞으로도 더욱더 많은 이벤트 기획전으로 자주 접하고 싶어요~"
단호박 씨드범벅 샐러드 세트,"새벽배송으로 그날 만든 샐러드를 신선하게 받고 있습니다~ 맛도 맛이지만 무엇보다 좋은 재료, 좋은 레시피가 한몫했다고 생각이 듭니다. 앞으로도 더욱더 많은 이벤트 기획전으로 자주 접하고 싶어요~"
3days 샐러드 패키지,다이어트 및 건강식으로 최곱니다. 3일 점심을 모두 그리팅 샐러드와 함께 했는데 적당한 포만감 및 하루종일 개운해 만족했습니다. 가격적인 측면도 10프로 할인까지 해줘 대만족이었습니다~^^
아마란스 진미채무침 ,양념이 너무 맛있네요~ 오징어가 질기지도 않고 부드러워 먹기 좋습니다~ 재구매 할거에요~
통밀 돈까스,"사이즈도 딱 좋고 
맛도 좋았어요. 
소스도 맛있네요. 
"
